datetime,symbol,exchange,interval,datetime,open,high,low,close,volume,turnover,transaction,open_interest,ZigZag,ZigZag_Change,淨值比,淨值比最大值,淨值比最小值,淨值,每股盈餘,每股盈餘_TTM,每股盈餘_TTM_YoY,每股盈餘_TTM_Change,每股盈餘_YTD_YoY,本益比,本益比最大值,本益比最小值
2004-04-15,2330,twse,d,2004-04-15,63.0,63.0,61.0,61.0,42203046,0.0,9434,0,,,,,,,,,,,,,,
2004-04-16,2330,twse,d,2004-04-16,60.5,61.5,60.0,61.0,60403833,0.0,11721,0,,,,,,,,,,,,,,
2004-04-19,2330,twse,d,2004-04-19,60.5,61.0,59.5,59.5,50154934,0.0,12839,0,,,,,,,,,,,,,,
2004-04-20,2330,twse,d,2004-04-20,60.0,61.5,60.0,61.0,38040179,0.0,8069,0,,,,,,,,,,,,,,
2004-04-21,2330,twse,d,2004-04-21,61.0,61.5,61.0,61.5,42593738,0.0,9337,0,,,,,,,,,,,,,,
2004-04-22,2330,twse,d,2004-04-22,62.5,64.0,61.0,62.0,124124918,0.0,26608,0,,,,,,,,,,,,,,
2004-04-23,2330,twse,d,2004-04-23,63.0,64.0,62.5,64.0,90835907,0.0,19597,0,,,,,,,,,,,,,,
2004-04-26,2330,twse,d,2004-04-26,64.0,64.5,63.5,63.5,55124914,0.0,11852,0,64.5,0.17272727272727262,,,,,,,,,,,,
2004-04-27,2330,twse,d,2004-04-27,63.5,63.5,62.0,63.5,45437445,0.0,7189,0,,,,,,,,,,,,,,
2004-04-28,2330,twse,d,2004-04-28,63.0,63.5,62.0,62.0,31146000,0.0,6531,0,,,,,,,,,,,,,,
2004-04-29,2330,twse,d,2004-04-29,60.0,61.0,59.5,60.5,85575191,0.0,17776,0,,,,,,,,,,,,,,
2004-04-30,2330,twse,d,2004-04-30,60.0,60.0,56.5,57.5,86620034,0.0,18937,0,,,,,,,,,,,,,,
2004-05-03,2330,twse,d,2004-05-03,57.5,58.5,57.0,58.0,33093691,0.0,8387,0,,,,,,,,,,,,,,
2004-05-04,2330,twse,d,2004-05-04,59.0,59.5,58.5,59.0,29516395,0.0,6725,0,,,,,,,,,,,,,,
2004-05-05,2330,twse,d,2004-05-05,59.0,59.0,55.0,55.0,73759789,0.0,15071,0,,,,,,,,,,,,,,
2004-05-06,2330,twse,d,2004-05-06,56.0,57.0,55.5,55.5,78663335,0.0,11558,0,,,,,,,,,,,,,,
2004-05-07,2330,twse,d,2004-05-07,55.0,57.0,55.0,57.0,58535195,0.0,11905,0,,,,,,,,,,,,,,
2004-05-10,2330,twse,d,2004-05-10,56.0,56.0,54.0,55.0,54300220,0.0,9859,0,,,,,,,,,,,,,,
2004-05-11,2330,twse,d,2004-05-11,55.5,57.5,53.5,57.5,49403497,0.0,10069,0,,,,,,,,,,,,,,
2004-05-12,2330,twse,d,2004-05-12,58.0,58.5,57.0,57.5,48572293,0.0,11072,0,,,,,,,,,,,,,,
2004-05-13,2330,twse,d,2004-05-13,57.0,57.0,55.0,57.0,48909010,0.0,9385,0,,,,,,,,,,,,,,
2004-05-14,2330,twse,d,2004-05-14,56.5,57.0,54.5,55.0,57847757,0.0,9332,0,,,,,,,,,,,,,,
2004-05-17,2330,twse,d,2004-05-17,53.5,53.5,51.5,51.5,63409929,0.0,17921,0,51.5,-0.20155038759689925,,,,,,,,,,,,
2004-05-18,2330,twse,d,2004-05-18,52.0,53.0,51.5,52.0,41932352,0.0,7932,0,,,,,,,,,,,,,,
2004-05-19,2330,twse,d,2004-05-19,54.0,55.5,53.5,55.5,59652509,0.0,11389,0,,,,,,,,,,,,,,
2004-05-20,2330,twse,d,2004-05-20,54.0,55.0,53.0,55.0,66591453,0.0,11843,0,,,,,,,,,,,,,,
2004-05-21,2330,twse,d,2004-05-21,54.5,56.0,54.0,55.0,54153253,0.0,10948,0,,,,,,,,,,,,,,
2004-05-24,2330,twse,d,2004-05-24,55.0,55.0,53.5,54.0,28355218,0.0,7181,0,,,,,,,,,,,,,,
2004-05-25,2330,twse,d,2004-05-25,54.0,55.5,53.5,54.5,28777167,0.0,5710,0,,,,,,,,,,,,,,
2004-05-26,2330,twse,d,2004-05-26,56.5,57.0,56.0,56.0,44896850,0.0,11021,0,,,,,,,,,,,,,,
2004-05-27,2330,twse,d,2004-05-27,57.0,57.0,56.0,57.0,35343089,0.0,7266,0,,,,,,,,,,,,,,
2004-05-28,2330,twse,d,2004-05-28,57.5,58.0,57.0,58.0,51381517,0.0,8826,0,58.0,0.12621359223300965,,,,,,,,,,,,
2004-05-31,2330,twse,d,2004-05-31,57.5,57.5,56.0,56.0,24319486,0.0,5876,0,,,,,,,,,,,,,,
2004-06-01,2330,twse,d,2004-06-01,56.0,57.0,55.5,56.5,22207585,0.0,4204,0,,,,,,,,,,,,,,
2004-06-02,2330,twse,d,2004-06-02,56.0,56.5,54.5,55.5,37065382,0.0,6116,0,,,,,,,,,,,,,,
2004-06-03,2330,twse,d,2004-06-03,55.5,56.0,53.0,53.0,51705952,0.0,9434,0,,,,,,,,,,,,,,
